household_id,full_name,age,gender,location,address,industry,income,expenses,job_status,credit_score,sa_id,phone_number,disposable_income,debt_to_income_ratio
144,Sipho Sithole,22,Female,Urban,"Port Elizabeth, South Africa",Government,30333,11972,Formally Employed,504,821220665900,+27 808427545,18361,0.3946856558863284
151,Sipho Zulu,41,Female,Rural,"Bloemfontein, South Africa",Government,39571,2438,Formally Employed,612,861213575411,+27 644566337,37133,0.06161077556796644
153,Thabo van der Merwe,40,Female,Urban,"Johannesburg, South Africa",Private,25788,13467,Formally Employed,825,900427831911,+27 624695245,12321,0.5222196370404839
155,Thabo Mokoena,21,Female,Urban,"Durban, South Africa",Private,44746,22487,Formally Employed,581,970105931011,+27 652172008,22259,0.502547713762124
156,Thabo Dlamini,43,Female,Urban,"Bloemfontein, South Africa",Private,3325,24525,Formally Employed,781,950819879401,+27 672287653,-21200,7.37593984962406
160,Nomvula Zulu,30,Female,Rural,"Port Elizabeth, South Africa",Mining,14313,35274,Formally Employed,397,870216844500,+27 473182681,-20961,2.464472856843429
162,Thabo Botha,30,Female,Rural,"Durban, South Africa",Private,16936,27710,Formally Employed,837,851122224311,+27 717538273,-10774,1.6361596598960793
170,Leanne Dlamini,52,Male,Urban,"Johannesburg, South Africa",Mining,24004,8085,Formally Employed,322,990501900001,+27 325881420,15919,0.3368188635227462
172,Nelson Pillay,41,Male,Urban,"Cape Town, South Africa",Private,15023,25894,Formally Employed,773,810628895000,+27 282276627,-10871,1.7236237768754576
174,Zanele Naidoo,51,Male,Urban,"Johannesburg, South Africa",Mining,30782,35911,Formally Employed,758,791126965401,+27 491276683,-5129,1.1666233513092066
177,Sipho Dlamini,59,Female,Rural,"Cape Town, South Africa",Government,40414,3193,Formally Employed,842,831102530110,+27 179918636,37221,0.07900727470678477
181,Nelson Botha,43,Female,Rural,"Cape Town, South Africa",Private,11050,36110,Formally Employed,546,911203786111,+27 327781445,-25060,3.2678733031674208
183,Elize Dlamini,59,Female,Rural,"Pretoria, South Africa",Mining,25931,19546,Formally Employed,411,990423006410,+27 838352703,6385,0.7537696193744938
192,Leanne Zulu,38,Female,Urban,"Polokwane, South Africa",Government,12437,28659,Formally Employed,683,870410378500,+27 536303723,-16222,2.3043338425665354
202,Abongile Mahlangu,45,Male,Urban,"Johannesburg, South Africa",Government,11719,26250,Formally Employed,453,830127492500,+27 691010145,-14531,2.2399522143527606
203,Nelson Sithole,20,Male,Urban,"Port Elizabeth, South Africa",Mining,15348,16698,Formally Employed,553,901109753601,+27 161678155,-1350,1.087959343236904
206,Johannes Mahlangu,56,Male,Urban,"Johannesburg, South Africa",Mining,9436,28370,Formally Employed,304,820215033911,+27 990084408,-18934,3.006570580754557
207,Jacob van der Merwe,44,Male,Rural,"Cape Town, South Africa",Government,22758,33785,Formally Employed,717,790815419910,+27 168463461,-11027,1.484532911503647
216,Pieter Pillay,49,Male,Urban,"Pretoria, South Africa",Government,5672,30388,Formally Employed,405,820125419900,+27 252642317,-24716,5.357545839210156
218,Elize Masuku,37,Female,Rural,"Johannesburg, South Africa",Mining,37082,28332,Formally Employed,706,800506470710,+27 543743857,8750,0.7640364597378783
230,Jacob Mokoena,25,Male,Urban,"Pretoria, South Africa",Government,6541,8003,Formally Employed,752,950430574701,+27 282697614,-1462,1.2235132242776334
233,Elize Botha,41,Male,Urban,"Bloemfontein, South Africa",Mining,35770,11422,Formally Employed,449,920122063010,+27 314835184,24348,0.3193178641319542
245,Nomvula Nkosi,59,Female,Urban,"Port Elizabeth, South Africa",Mining,41136,20109,Formally Employed,536,850415734610,+27 511786019,21027,0.4888418903150525
251,Nelson Nkosi,26,Female,Urban,"Polokwane, South Africa",Government,37930,18481,Formally Employed,672,850513098710,+27 560565772,19449,0.48723965199050884
258,Nelson Mokoena,59,Female,Urban,"Johannesburg, South Africa",Mining,23098,34085,Formally Employed,663,930712783210,+27 473140208,-10987,1.4756688890813057
271,Abongile Dlamini,54,Female,Rural,"Bloemfontein, South Africa",Mining,12733,29591,Formally Employed,554,921216976101,+27 144610678,-16858,2.3239613602450326
295,Elize Nkosi,29,Female,Urban,"Pretoria, South Africa",Government,27381,5776,Formally Employed,775,930212621710,+27 100556075,21605,0.21094919834922027
301,Zanele Dlamini,26,Female,Rural,"Port Elizabeth, South Africa",Mining,3325,31148,Formally Employed,663,950422442701,+27 750764693,-27823,9.36781954887218
308,Elize Mahlangu,32,Male,Rural,"Cape Town, South Africa",Government,18152,36954,Formally Employed,345,851119965910,+27 384556439,-18802,2.03580872631115
315,Nokuthula Masuku,33,Female,Rural,"Port Elizabeth, South Africa",Mining,16271,29678,Formally Employed,698,921220106200,+27 977492179,-13407,1.8239813164525844
318,Elize van der Merwe,52,Male,Urban,"Cape Town, South Africa",Private,14891,33906,Formally Employed,692,960423729111,+27 478297801,-19015,2.276945806191659
341,Thabo Masuku,24,Female,Urban,"Polokwane, South Africa",Government,46642,14398,Formally Employed,749,980113901200,+27 847911890,32244,0.308691737061018
352,Jacob Zulu,55,Male,Urban,"Johannesburg, South Africa",Government,9173,17242,Formally Employed,321,831225274410,+27 958762949,-8069,1.8796467894908973
364,Leanne Naidoo,27,Female,Rural,"Polokwane, South Africa",Private,34992,13543,Formally Employed,685,970622406601,+27 360805174,21449,0.3870313214449017
373,Zanele Sithole,20,Male,Rural,"Pretoria, South Africa",Mining,18858,26280,Formally Employed,525,940425787500,+27 104418367,-7422,1.3935730194082088
375,Pieter Sithole,45,Female,Rural,"Bloemfontein, South Africa",Mining,17411,2836,Formally Employed,670,880208904310,+27 426631687,14575,0.16288553213485726
382,Johannes Sithole,42,Male,Urban,"Pretoria, South Africa",Government,46170,39180,Formally Employed,382,791218319900,+27 106240519,6990,0.8486029889538661
396,Pieter van der Merwe,32,Male,Rural,"Durban, South Africa",Government,36417,13158,Formally Employed,592,960806450310,+27 982693240,23259,0.3613147705741824
421,Nokuthula Pillay,33,Male,Rural,"Pretoria, South Africa",Mining,34841,28665,Formally Employed,795,911016843101,+27 575267015,6176,0.822737579288769
445,Nokuthula Dlamini,32,Male,Urban,"Durban, South Africa",Private,41704,20019,Formally Employed,324,901117981111,+27 163564733,21685,0.48002589679647034
490,Johannes Mokoena,22,Male,Urban,"Johannesburg, South Africa",Private,13044,29971,Formally Employed,384,821028879100,+27 626060055,-16927,2.2976847592762955
535,Jacob Pillay,32,Female,Rural,"Johannesburg, South Africa",Private,42750,37057,Formally Employed,547,861006120801,+27 408114811,5693,0.8668304093567252
536,Sipho Mahlangu,56,Female,Rural,"Bloemfontein, South Africa",Private,35606,25888,Formally Employed,438,980625104600,+27 272048185,9718,0.7270684716059092
996,Sipho Mokoena,53,Female,Urban,"Polokwane, South Africa",Private,8830,5410,Formally Employed,606,840505790800,+27 628170456,3420,0.6126840317100792
