household_id,full_name,age,gender,location,address,industry,income,expenses,job_status,credit_score,sa_id,phone_number
46,Nomvula Naidoo,53,Female,Rural,"Pretoria, South Africa",Government,11224,18919,Formally Employed,330,891122304200,+27 387088293
47,Leanne Sithole,52,Female,Rural,"Cape Town, South Africa",Mining,30381,25026,Formally Employed,758,961106920900,+27 355120039
49,Nomvula Botha,43,Female,Rural,"Port Elizabeth, South Africa",Government,40054,28940,Formally Employed,576,960328499701,+27 193908843
50,Johannes Sithole,38,Male,Urban,"Durban, South Africa",Mining,33006,13200,Formally Employed,432,891118942311,+27 357756944
51,Thabo Masuku,55,Female,Rural,"Port Elizabeth, South Africa",Government,36887,4977,Formally Employed,822,920714006401,+27 822619065
52,Nokuthula Mahlangu,25,Female,Rural,"Durban, South Africa",Mining,31141,38205,Formally Employed,731,790821178610,+27 599152241
53,Nomvula van der Merwe,57,Male,Urban,"Polokwane, South Africa",Government,13047,16885,Formally Employed,451,841122386001,+27 795843488
54,Leanne Mahlangu,25,Female,Urban,"Polokwane, South Africa",Government,30390,35360,Formally Employed,639,921107336600,+27 714423031
55,Zanele Masuku,56,Male,Rural,"Polokwane, South Africa",Private,44617,27792,Formally Employed,747,951009081301,+27 680229616
56,Nelson Nkosi,46,Male,Urban,"Port Elizabeth, South Africa",Government,10689,38156,Formally Employed,736,810520537911,+27 189109986
58,Pieter van der Merwe,39,Male,Rural,"Durban, South Africa",Government,27822,29064,Formally Employed,623,950116858910,+27 885208834
59,Abongile Nkosi,44,Male,Urban,"Johannesburg, South Africa",Mining,12087,3586,Formally Employed,803,910415087100,+27 753541259
60,Pieter Nkosi,47,Female,Urban,"Durban, South Africa",Private,49066,14799,Formally Employed,444,980821918301,+27 722224482
61,Abongile Botha,52,Female,Rural,"Johannesburg, South Africa",Government,19732,7955,Formally Employed,842,830422758111,+27 266207300
64,Zanele Pillay,23,Male,Urban,"Port Elizabeth, South Africa",Government,10008,18200,Formally Employed,398,830414872311,+27 806890049
65,Johannes Botha,37,Female,Rural,"Durban, South Africa",Mining,21676,23432,Formally Employed,845,820321228701,+27 568067748
66,Thabo Naidoo,45,Male,Rural,"Port Elizabeth, South Africa",Private,24697,26366,Formally Employed,311,860427725411,+27 483406085
67,Thabo Botha,48,Male,Rural,"Pretoria, South Africa",Mining,16940,30176,Formally Employed,443,921010200301,+27 887678730
68,Jacob Zulu,41,Male,Rural,"Pretoria, South Africa",Government,47011,36561,Formally Employed,557,881219555610,+27 711661950
74,Johannes Nkosi,24,Male,Urban,"Bloemfontein, South Africa",Mining,21234,5404,Formally Employed,345,970423682701,+27 489045030
75,Thabo Nkosi,24,Male,Urban,"Polokwane, South Africa",Private,33141,30280,Formally Employed,358,910615687501,+27 288502233
77,Jacob Naidoo,26,Male,Urban,"Pretoria, South Africa",Government,13807,19026,Formally Employed,583,900730953900,+27 865941116
79,Sipho Mokoena,49,Female,Rural,"Bloemfontein, South Africa",Government,36617,25900,Formally Employed,324,870524801001,+27 613180810
80,Sipho Masuku,47,Female,Urban,"Bloemfontein, South Africa",Government,24460,4642,Formally Employed,545,790115765710,+27 518991712
81,Jacob Botha,53,Female,Urban,"Cape Town, South Africa",Government,40339,19792,Formally Employed,360,890610921301,+27 891904749
82,Pieter Pillay,40,Male,Rural,"Durban, South Africa",Mining,36456,5358,Formally Employed,800,930515603500,+27 183667232
84,Nokuthula Botha,46,Male,Urban,"Bloemfontein, South Africa",Mining,11483,5922,Formally Employed,659,850509686311,+27 482805274
86,Nokuthula Masuku,20,Male,Rural,"Polokwane, South Africa",Private,33515,13957,Formally Employed,415,901116571201,+27 154647699
88,Nokuthula Dlamini,47,Male,Urban,"Polokwane, South Africa",Mining,27320,34774,Formally Employed,625,950803600911,+27 871713088
89,Nokuthula Nkosi,48,Male,Rural,"Polokwane, South Africa",Government,33076,10434,Formally Employed,813,851210382701,+27 470199635
90,Jacob Mokoena,43,Male,Urban,"Pretoria, South Africa",Government,34838,35297,Formally Employed,457,970410072611,+27 453267163
92,Thabo Mahlangu,28,Female,Rural,"Bloemfontein, South Africa",Mining,38600,17584,Formally Employed,565,870611457910,+27 697997107
94,Jacob Sithole,48,Female,Rural,"Pretoria, South Africa",Mining,47056,33951,Formally Employed,524,940618881211,+27 846497721
97,Leanne van der Merwe,35,Male,Rural,"Pretoria, South Africa",Government,16161,4611,Formally Employed,700,971129538001,+27 413682016
98,Nomvula Dlamini,37,Male,Urban,"Pretoria, South Africa",Mining,49038,38239,Formally Employed,841,860821581511,+27 682593301
101,Abongile Dlamini,52,Male,Urban,"Pretoria, South Africa",Mining,49685,20648,Formally Employed,820,950730231210,+27 367862753
102,Sipho Botha,24,Female,Urban,"Pretoria, South Africa",Mining,7203,3800,Formally Employed,628,800405108411,+27 936748568
106,Nokuthula Zulu,40,Female,Rural,"Pretoria, South Africa",Government,21258,9150,Formally Employed,544,900613113801,+27 661931681
107,Abongile van der Merwe,58,Male,Rural,"Polokwane, South Africa",Private,49903,8970,Formally Employed,711,900103163611,+27 841183497
108,Elize Sithole,35,Female,Urban,"Durban, South Africa",Government,18794,13196,Formally Employed,440,971002744611,+27 441393750
110,Elize Dlamini,24,Male,Rural,"Johannesburg, South Africa",Private,49940,30820,Formally Employed,585,800121655601,+27 769389344
114,Nokuthula Mokoena,26,Female,Urban,"Durban, South Africa",Mining,33181,4346,Formally Employed,466,800707936710,+27 820038121
118,Abongile Mahlangu,39,Female,Urban,"Durban, South Africa",Government,9345,28451,Formally Employed,478,880516789010,+27 933720624
122,Zanele van der Merwe,40,Male,Rural,"Port Elizabeth, South Africa",Private,26764,15624,Formally Employed,366,930722390200,+27 287605645
127,Nelson Mahlangu,60,Female,Rural,"Johannesburg, South Africa",Mining,28736,28247,Formally Employed,727,990529361210,+27 152456675
132,Sipho Naidoo,32,Male,Rural,"Polokwane, South Africa",Mining,12397,11083,Formally Employed,333,840401745410,+27 858947342
133,Sipho Pillay,26,Male,Rural,"Durban, South Africa",Mining,30773,14884,Formally Employed,527,870306446200,+27 890743051
137,Sipho Dlamini,49,Male,Urban,"Durban, South Africa",Private,7694,33307,Formally Employed,550,811007493701,+27 811264350
148,Zanele Zulu,40,Male,Urban,"Cape Town, South Africa",Mining,45750,36841,Formally Employed,406,830204837211,+27 509901152
151,Thabo Mokoena,23,Female,Urban,"Port Elizabeth, South Africa",Private,33898,13482,Formally Employed,618,981027944911,+27 793104134
153,Elize Botha,40,Female,Urban,"Durban, South Africa",Government,42412,17482,Formally Employed,760,900729399911,+27 910984610
154,Johannes Mokoena,40,Female,Rural,"Pretoria, South Africa",Mining,4683,26799,Formally Employed,706,821114782011,+27 509087254
156,Sipho Mahlangu,54,Male,Rural,"Port Elizabeth, South Africa",Mining,32451,26994,Formally Employed,468,830419642511,+27 570794093
157,Sipho van der Merwe,42,Female,Urban,"Johannesburg, South Africa",Government,42562,33238,Formally Employed,814,941005601210,+27 510388704
158,Nelson Dlamini,47,Male,Urban,"Johannesburg, South Africa",Mining,3701,6645,Formally Employed,434,910621084101,+27 823055873
159,Leanne Zulu,28,Male,Urban,"Pretoria, South Africa",Government,22851,35394,Formally Employed,415,821118279701,+27 607672107
162,Zanele Nkosi,24,Female,Urban,"Durban, South Africa",Private,32419,5543,Formally Employed,785,981106221810,+27 293645970
165,Johannes Mahlangu,26,Female,Urban,"Port Elizabeth, South Africa",Government,47381,10510,Formally Employed,329,801001475300,+27 439822612
166,Leanne Naidoo,48,Female,Urban,"Durban, South Africa",Mining,22537,29891,Formally Employed,533,820726542500,+27 296747015
170,Thabo Sithole,36,Female,Urban,"Pretoria, South Africa",Mining,39654,37871,Formally Employed,819,980924418200,+27 792861745
171,Sipho Zulu,43,Female,Urban,"Cape Town, South Africa",Private,31230,9831,Formally Employed,337,810222078411,+27 914730696
173,Nomvula Pillay,51,Female,Urban,"Bloemfontein, South Africa",Government,13997,29678,Formally Employed,768,860430826801,+27 654133985
177,Zanele Naidoo,38,Female,Rural,"Pretoria, South Africa",Private,17132,14599,Formally Employed,310,901119290711,+27 864176562
188,Nelson Zulu,20,Female,Rural,"Pretoria, South Africa",Private,24544,28392,Formally Employed,815,990905779501,+27 994642774
192,Pieter Masuku,55,Male,Rural,"Bloemfontein, South Africa",Mining,24310,29380,Formally Employed,329,891008607501,+27 794156102
193,Sipho Sithole,40,Male,Urban,"Polokwane, South Africa",Mining,14342,30478,Formally Employed,388,980406637301,+27 611944264
197,Johannes Pillay,45,Female,Rural,"Pretoria, South Africa",Government,9157,26173,Formally Employed,827,981224010100,+27 776823995
198,Nelson Mokoena,39,Male,Rural,"Johannesburg, South Africa",Private,43013,9425,Formally Employed,499,800511349900,+27 710168222
199,Nokuthula Pillay,40,Female,Rural,"Cape Town, South Africa",Mining,18995,5541,Formally Employed,609,960101679801,+27 156775337
207,Nomvula Zulu,25,Male,Rural,"Bloemfontein, South Africa",Private,48623,11196,Formally Employed,848,871120473900,+27 343217528
208,Jacob Nkosi,37,Female,Urban,"Cape Town, South Africa",Mining,15108,17914,Formally Employed,329,860917295610,+27 497852438
209,Jacob Masuku,52,Female,Rural,"Johannesburg, South Africa",Mining,4397,34010,Formally Employed,422,861020053000,+27 245855069
216,Abongile Masuku,32,Male,Urban,"Johannesburg, South Africa",Mining,23911,15783,Formally Employed,590,811103658911,+27 259628683
217,Jacob Dlamini,54,Male,Rural,"Bloemfontein, South Africa",Government,32548,23951,Formally Employed,530,801010393511,+27 347819057
219,Nomvula Sithole,42,Male,Urban,"Durban, South Africa",Mining,39182,31927,Formally Employed,661,880217085701,+27 251352056
221,Pieter Dlamini,42,Female,Rural,"Johannesburg, South Africa",Mining,30359,15003,Formally Employed,581,861027395311,+27 556169266
222,Nokuthula Sithole,41,Female,Rural,"Cape Town, South Africa",Government,48556,3145,Formally Employed,772,811215944401,+27 111726192
237,Nokuthula Naidoo,24,Female,Rural,"Cape Town, South Africa",Mining,5435,20271,Formally Employed,656,870329775211,+27 816443894
240,Abongile Naidoo,42,Male,Urban,"Johannesburg, South Africa",Government,21492,8648,Formally Employed,685,990123046100,+27 126765485
243,Pieter Naidoo,47,Female,Rural,"Durban, South Africa",Mining,10593,5407,Formally Employed,540,861203429400,+27 641653433
246,Abongile Sithole,31,Female,Urban,"Port Elizabeth, South Africa",Government,43264,17377,Formally Employed,526,830424120611,+27 710411884
250,Johannes Zulu,33,Male,Rural,"Bloemfontein, South Africa",Private,49790,7328,Formally Employed,604,910904821310,+27 557671939
260,Zanele Mokoena,22,Male,Urban,"Cape Town, South Africa",Mining,11222,31650,Formally Employed,772,820829636800,+27 497293517
262,Nelson Botha,53,Male,Urban,"Pretoria, South Africa",Government,14167,30924,Formally Employed,373,820329271300,+27 231839628
263,Leanne Masuku,29,Male,Urban,"Johannesburg, South Africa",Government,33545,25054,Formally Employed,802,860211205910,+27 884355752
266,Elize Mokoena,26,Male,Urban,"Pretoria, South Africa",Private,20300,25303,Formally Employed,301,851211325510,+27 461287514
268,Abongile Mokoena,49,Male,Urban,"Cape Town, South Africa",Mining,8660,39541,Formally Employed,497,921220379911,+27 683449166
273,Pieter Mahlangu,25,Female,Urban,"Johannesburg, South Africa",Private,28348,10284,Formally Employed,476,911213552910,+27 768941852
282,Leanne Pillay,36,Female,Urban,"Durban, South Africa",Government,17412,14894,Formally Employed,532,981026800510,+27 111975207
310,Pieter Zulu,24,Male,Rural,"Johannesburg, South Africa",Private,22888,27526,Formally Employed,636,840907580511,+27 861290773
329,Pieter Botha,43,Female,Rural,"Durban, South Africa",Mining,8212,33291,Formally Employed,752,800328439901,+27 586689912
358,Nelson van der Merwe,37,Male,Urban,"Durban, South Africa",Mining,8943,37755,Formally Employed,500,840416448601,+27 475030037
385,Thabo Dlamini,24,Male,Rural,"Pretoria, South Africa",Government,45461,34772,Formally Employed,779,791130237811,+27 825511874
388,Pieter Sithole,50,Female,Urban,"Port Elizabeth, South Africa",Government,46000,33690,Formally Employed,308,850227570400,+27 343504152
391,Nomvula Mokoena,48,Female,Urban,"Cape Town, South Africa",Government,7346,28223,Formally Employed,322,940324602210,+27 616892604
405,Zanele Mahlangu,48,Female,Urban,"Pretoria, South Africa",Government,17055,29178,Formally Employed,368,790205917611,+27 929075867
406,Johannes Masuku,22,Male,Urban,"Pretoria, South Africa",Mining,10524,6159,Formally Employed,719,810611344101,+27 445738899
612,Leanne Dlamini,30,Female,Rural,"Cape Town, South Africa",Government,38203,20512,Formally Employed,758,960515635600,+27 903763294
742,Elize Masuku,30,Female,Rural,"Cape Town, South Africa",Private,21604,29799,Formally Employed,734,790208271211,+27 171366816
